"ID","survey","country","year","field_latitude","field_longitude","plant_date","harvest_date","gs_length","yield_kg_ph","hybrid","intercrop","esa_avg","chirps_sum","era_temp_mean_avg","era_temp_min_avg","era_temp_max_avg","kdd_event","kdd_result","N_kg_ph"
"ID_00028","Burundi_2017","Burundi",2017,-3.465854168,29.7364254,"2016-09-27","2017-03-15",169,2662.2,0,0,0.385076765132987,901.833379030228,19.5075133118639,15.8708149746325,23.7710414547892,0,0,0
"ID_00029","Burundi_2017","Burundi",2017,-3.26368165,29.64663887,"2016-10-08","2017-02-04",119,1364,0,1,0.377720541075656,588.902803897858,17.973271899397,13.5068411177948,22.941684036896,0,0,0
"ID_00030","Burundi_2017","Burundi",2017,-3.339049816,29.62973404,"2016-09-15","2017-02-01",139,2864.3999,0,0,0.370197612748427,736.436515808106,18.0062017719809,13.6115922886691,22.9855612775405,0,0,9
"ID_00031","Burundi_2017","Burundi",2017,-3.23434186,29.71663857,"2016-10-19","2017-02-09",113,2174.3999,0,1,0.3432527676727,546.371267318725,19.7852149513267,15.9419138140383,24.3962073942201,0,0,0
"ID_00032","Burundi_2017","Burundi",2017,-3.204718351,29.75456047,"2016-09-28","2017-02-02",127,2536.8,0,1,0.30776928106741,544.731328010559,20.3962809084595,16.2171432855561,24.9679948941929,0,0,5.71428594
"ID_00034","Burundi_2017","Burundi",2017,-3.249550581,29.77857971,"2016-10-26","2017-03-03",128,445.68143,0,1,0.320417703191439,615.325991749764,20.1155124564966,15.9213272094727,24.6080089569092,0,0,0
"ID_00035","Burundi_2017","Burundi",2017,-3.519242048,29.74031258,"2016-10-07","2017-03-04",148,1035.2999,0,1,0.397625238430209,836.062279701233,19.5210651758555,15.8477872693861,23.7678252349029,0,0,5.05617984
"ID_00037","Burundi_2017","Burundi",2017,-3.2118752,29.78079605,"2016-10-05","2017-01-30",117,2899.2,0,1,0.308049907121393,502.859234809876,20.3970214148193,16.1705921140491,24.9210637019231,0,0,6.12244854
"ID_00038","Burundi_2017","Burundi",2017,-3.27939105,29.63602448,"2016-10-15","2017-02-08",116,1774.5917,0,1,0.379714504668587,583.641803741455,17.9056810642111,13.477326965332,22.8426294787177,0,0,0
"ID_00039","Burundi_2017","Burundi",2017,-3.247661591,29.80855751,"2016-10-04","2017-02-03",122,1993.2001,0,1,0.308599454766892,544.604219913483,20.3952786638437,16.1828137006916,24.9365878746158,0,0,7.38461556
"ID_00040","Burundi_2017","Burundi",2017,-3.240068674,29.96102905,"2016-11-28","2017-03-22",114,2615.9182,0,1,0.326232007773299,534.331061840057,19.2539978451199,15.0113459001508,24.0555342824836,0,0,10.00000026
"ID_00041","Burundi_2017","Burundi",2017,-3.327605009,29.64422798,"2016-09-18","2017-02-09",144,1636.8,0,1,0.373292313321777,723.96065568924,17.988682462551,13.5742493099637,22.9640594482422,0,0,12.49999974
"ID_00042","Burundi_2017","Burundi",2017,-3.203972578,29.98726654,"2016-11-23","2017-03-16",113,1479,0,1,0.322031599251514,511.422983646393,19.2603658107882,14.982461412818,24.0703531180863,0,0,8.33333382
"ID_00043","Burundi_2017","Burundi",2017,-3.249725819,29.58044624,"2016-10-15","2017-03-10",146,1488,1,1,0.346933512251918,778.099419355393,18.3351530501832,13.9820777788554,23.3885090031036,0,0,29.9999988
"ID_00044","Burundi_2017","Burundi",2017,-3.510549307,29.74406624,"2016-09-25","2017-02-18",146,2012.2448,0,0,0.394862573714026,789.548286914826,19.5697301072073,15.9316711007732,23.8081348994007,0,0,0
"ID_00045","Burundi_2017","Burundi",2017,-3.306775331,29.68189621,"2016-10-03","2017-01-25",114,1022.9999,0,0,0.375614653462949,555.716033458709,19.4864947759617,15.6883232250548,23.9964865165844,0,0,9
"ID_00046","Burundi_2017","Burundi",2017,-3.267322302,29.64625931,"2016-10-08","2017-02-04",119,1568.6,0,1,0.377720541075656,588.902803897858,17.973271899397,13.5068411177948,22.941684036896,0,0,5.7416274
"ID_00047","Burundi_2017","Burundi",2017,-3.170957327,29.73967934,"2016-09-30","2017-02-13",136,1041.9,0,1,0.342961813059618,607.686458587646,19.8843998086219,16.0522779128131,24.5440415326287,0,0,12.00000096
"ID_00048","Burundi_2017","Burundi",2017,-3.202784777,29.72408676,"2016-09-26","2017-01-25",121,2247.7424,0,1,0.340171165102058,572.395227432251,19.8925494906003,16.0752530184659,24.55263671875,0,0,7.21269468
"ID_00049","Burundi_2017","Burundi",2017,-3.249453783,29.98444176,"2016-11-10","2017-02-22",104,1521.3059,0,1,0.320018890149453,495.757918834686,19.1820850347861,14.9678999680739,23.9208805964543,0,0,47.6190522
"ID_00050","Burundi_2017","Burundi",2017,-3.417538404,29.73433876,"2016-10-01","2017-02-23",145,1971.9999,0,1,0.380046221427619,757.801004171371,19.4592924885366,15.7825087974811,23.7932684536638,0,0,0
"ID_00051","Burundi_2017","Burundi",2017,-3.283839464,29.80636215,"2016-10-14","2017-01-26",104,2347.866,0,1,0.307129657434093,472.887488365174,20.1429227780073,15.9223243126502,24.6150639460637,0,0,26.7558534
"ID_00052","Burundi_2017","Burundi",2017,-3.249501467,29.77854729,"2016-10-28","2017-02-20",115,1664.0815,0,0,0.318842293892769,570.624177455902,20.1417950063512,15.9078825577446,24.6285814368207,0,0,9
"ID_00054","Burundi_2017","Burundi",2017,-3.278714895,29.66015244,"2016-10-10","2017-02-25",138,3224.0002,1,1,0.379945023876169,675.866131305695,19.4847180702836,15.6952955605327,23.9798934273098,0,0,17.8571421
"ID_00055","Burundi_2017","Burundi",2017,-3.522280455,29.73064804,"2016-09-29","2017-02-20",144,2279.4001,1,1,0.397252110410328,804.505747318268,19.5482257189574,15.8989987267388,23.7916266547309,0,0,21.4285716
"ID_00056","Burundi_2017","Burundi",2017,-3.277531385,29.65962601,"2016-11-05","2017-02-13",100,835.10199,0,1,0.389198757168176,475.100672245026,19.2874554316203,15.5751406860352,23.7283618164063,0,0,9.74025954
"ID_00057","Burundi_2017","Burundi",2017,-3.195911646,29.73426056,"2016-10-10","2017-01-28",110,2681.0205,0,1,0.339491654052792,488.589984416962,19.9379344593395,16.0227894176136,24.5757745916193,0,0,35.5907052
"ID_00058","Burundi_2017","Burundi",2017,-3.128914118,29.75029182,"2016-10-02","2017-01-21",111,1173.2458,0,1,0.306752639689616,454.092498660088,20.4206056703677,16.0166622677365,25.0620900197072,0,0,5.95238094
"ID_00059","Burundi_2017","Burundi",2017,-3.204875946,29.91761398,"2016-11-14","2017-03-18",124,2593.8,1,1,0.325771237027298,557.180464744568,19.3594395196566,15.0733089323967,23.9576935798891,0,0,18.2432412
"ID_00060","Burundi_2017","Burundi",2017,-3.222272396,29.73451233,"2016-10-01","2017-01-26",117,1721.4,0,1,0.340933663431894,549.231302261352,19.8979423327324,16.0434511885684,24.5626631777511,0,0,13.63636368
"ID_00061","Burundi_2017","Burundi",2017,-3.072833538,29.61551666,"2016-10-06","2017-02-06",123,3399.4236,0,1,0.3425912090038,567.799372196198,18.1414725512993,13.8316371018324,23.125299320376,0,0,7.03125
"ID_00062","Burundi_2017","Burundi",2017,-3.287362576,29.67407036,"2016-10-11","2017-02-10",122,1948.5714,0,1,0.378515526279807,582.269115924835,19.495913785924,15.6823426793833,24.0160996734119,0,0,0
"ID_00063","Burundi_2017","Burundi",2017,-3.520780563,29.73553658,"2016-10-02","2017-02-11",132,3309.5576,1,1,0.397061735391617,686.288190364838,19.5498949821549,15.8780551332416,23.8106471206203,0,0,3.11418702
"ID_00064","Burundi_2017","Burundi",2017,-3.260666609,29.72752953,"2016-10-18","2017-03-13",146,1479.1837,0,1,0.386496611962131,685.970790982246,19.3778034558579,15.6504662500669,23.8449951171875,0,0,0
"ID_00065","Burundi_2017","Burundi",2017,-3.199364424,29.73778343,"2016-09-28","2017-01-21",115,2193.8894,0,1,0.33993407754704,506.333971500397,19.8917590155118,16.0611221976902,24.5508746603261,0,0,5.05050498
"ID_00068","Burundi_2017","Burundi",2017,-3.217024565,29.98577881,"2016-11-05","2017-03-17",132,2828.6882,0,1,0.325318919149814,624.313421726226,19.1751304144811,14.998525353634,23.9228260387074,0,0,37.058823
"ID_00069","Burundi_2017","Burundi",2017,-3.072005749,29.61696434,"2016-10-05","2017-01-25",112,1351.9824,0,1,0.340524538819279,519.797119140625,18.1576478867304,13.8443128313337,23.1445360456194,0,0,0
"ID_00070","Burundi_2017","Burundi",2017,-3.230554342,29.77276039,"2016-10-08","2017-01-30",114,3394.2856,1,1,0.307211458854292,487.328938484192,20.4121987504569,16.1657230845669,24.9316543311404,0,0,16.24060134
"ID_00071","Burundi_2017","Burundi",2017,-3.209676504,29.69371414,"2016-10-12","2017-02-01",112,2041.1998,1,1,0.339795976000674,533.439629554749,19.9099921998524,16.0189845493862,24.5654366629464,0,0,8.42105286
"ID_00072","Burundi_2017","Burundi",2017,-3.360001802,29.91931534,"2016-11-10","2017-03-10",120,1873.3999,0,1,0.325658765908714,552.721500992775,19.3070652325948,15.0223790486654,23.8136291503906,0,0,18
"ID_00073","Burundi_2017","Burundi",2017,-3.233445883,29.830616,"2016-10-03","2017-02-01",121,3454.6455,0,1,0.308659867413582,524.725161075592,20.3899318726595,16.1844222139721,24.9451926491477,0,0,12.68797032
"ID_00074","Burundi_2017","Burundi",2017,-3.356343508,29.92516708,"2016-10-14","2017-02-15",124,1676.2,0,1,0.308399201116779,546.015830516815,19.583531982668,15.2688857540008,24.0448478452621,0,0,11.25
"ID_00075","Burundi_2017","Burundi",2017,-3.21061182,29.65981293,"2016-10-10","2017-02-20",133,2366.1226,0,1,0.34211508333683,652.494309902191,19.9168979635215,16.0446500620448,24.5361214315085,0,0,25.6684482
"ID_00076","Burundi_2017","Burundi",2017,-3.603944778,29.98953819,"2016-10-05","2017-02-23",141,1328.5713,0,0,0.328214826944627,690.924848079681,19.4994166507225,15.4166337249972,23.9211107186392,0,0,7.43801598
"ID_00077","Burundi_2017","Burundi",2017,-3.072217703,29.61679268,"2016-10-06","2017-02-06",123,2387,0,1,0.3425912090038,567.799372196198,18.1414725512993,13.8316371018324,23.125299320376,0,0,0
"ID_00078","Burundi_2017","Burundi",2017,-3.266811609,29.86754417,"2016-10-03","2017-02-24",144,4426.9385,0,1,0.310874383314513,639.27748143673,19.5759801140538,15.3245801289876,24.1192379421658,0,0,11.25
"ID_00079","Burundi_2017","Burundi",2017,-3.357421398,29.92411995,"2016-10-09","2017-02-27",141,1965,1,1,0.310491495435276,621.000222325325,19.5816891555245,15.2990140008588,24.0475461269947,0,0,29.411766
"ID_00081","Burundi_2017","Burundi",2017,-3.205459356,29.98306274,"2016-11-10","2017-04-05",146,2082.9001,1,1,0.33105714484805,703.115357875824,19.1639193373728,15.0096972321811,23.8785945526541,0,0,26.666667
"ID_00082","Burundi_2017","Burundi",2017,-3.238177299,29.97931862,"2016-11-25","2017-03-13",108,300,0,1,0.322092502137248,495.280688762665,19.2483042092971,14.9800399215133,24.0704386393229,0,0,4.59183672
