"RMSE","R2","cluster","r.e.","model"
1981.68117604967,0.0980711412873644,"Cluster 1","no random effect","ENV"
1876.34319574471,0.103511169508319,"Cluster 1","no random effect","ENV"
1798.95979116425,0.118845648500323,"Cluster 1","no random effect","ENV"
2002.64317339721,0.138550343227494,"Cluster 1","no random effect","ENV"
1942.56241660139,0.0595439239003709,"Cluster 1","no random effect","ENV"
2019.83532403928,0.0898969494064643,"Cluster 1","no random effect","ENV"
2007.30335352276,0.0840543755016312,"Cluster 1","no random effect","ENV"
1910.63540776545,0.0745243580734099,"Cluster 1","no random effect","ENV"
1454.79798063125,0.0259988611286874,"Cluster 2","no random effect","ENV"
1480.63939271245,0.022927602742818,"Cluster 2","no random effect","ENV"
1493.88307855448,0.0237883942853065,"Cluster 2","no random effect","ENV"
1491.00485088261,0.0243666273344308,"Cluster 2","no random effect","ENV"
1514.57199943375,0.0283304428566607,"Cluster 2","no random effect","ENV"
1491.98435666287,0.0238349449250927,"Cluster 2","no random effect","ENV"
1473.24095730064,0.0266993170532322,"Cluster 2","no random effect","ENV"
1488.94663912597,0.023187326329158,"Cluster 2","no random effect","ENV"
1470.71323318488,0.0194372884642681,"Cluster 2","no random effect","ENV"
1496.07952266928,0.0225728448704374,"Cluster 2","no random effect","ENV"
1476.90571698336,0.0240377951433691,"Cluster 2","no random effect","ENV"
1499.17884839531,0.0205381843199795,"Cluster 2","no random effect","ENV"
1475.60234750456,0.0308965885022145,"Cluster 2","no random effect","ENV"
1488.63268082907,0.0214026070205168,"Cluster 2","no random effect","ENV"
1488.68321912789,0.0237310798822632,"Cluster 2","no random effect","ENV"
1484.24136147776,0.0290311858401311,"Cluster 2","no random effect","ENV"
1473.45070641555,0.0263126394157479,"Cluster 2","no random effect","ENV"
1491.84062334384,0.0248001436433564,"Cluster 2","no random effect","ENV"
1488.70881843966,0.0261945929363479,"Cluster 2","no random effect","ENV"
1489.59641245457,0.0289976126678365,"Cluster 2","no random effect","ENV"
1498.8735212536,0.0297393671333635,"Cluster 2","no random effect","ENV"
1487.89445174284,0.0265806438650283,"Cluster 2","no random effect","ENV"
1509.40514439106,0.0248777756085211,"Cluster 2","no random effect","ENV"
1498.87922318849,0.0276825346111543,"Cluster 2","no random effect","ENV"
1478.03509018566,0.0259937741321138,"Cluster 2","no random effect","ENV"
1492.77915488379,0.0286377961703859,"Cluster 2","no random effect","ENV"
1480.72506760074,0.0238056102480831,"Cluster 2","no random effect","ENV"
1490.0746259843,0.0233642175794757,"Cluster 2","no random effect","ENV"
1489.73034961985,0.0234968098946678,"Cluster 2","no random effect","ENV"
1503.17596372985,0.0198899970384413,"Cluster 2","no random effect","ENV"
1482.99114254917,0.0214561256954539,"Cluster 2","no random effect","ENV"
1499.10776928547,0.0191213058111295,"Cluster 2","no random effect","ENV"
1481.85102591614,0.0228333319521375,"Cluster 2","no random effect","ENV"
1499.74896825506,0.0203259402661677,"Cluster 2","no random effect","ENV"
1482.30511766647,0.0234689567373681,"Cluster 2","no random effect","ENV"
1490.07166672576,0.0261949309829331,"Cluster 2","no random effect","ENV"
1496.72491827904,0.025734192510083,"Cluster 2","no random effect","ENV"
1490.29865422213,0.0261378694550007,"Cluster 2","no random effect","ENV"
1473.66790522066,0.0240583485423748,"Cluster 2","no random effect","ENV"
1487.2272216904,0.0255163491717738,"Cluster 2","no random effect","ENV"
1494.05544619972,0.027657129565815,"Cluster 2","no random effect","ENV"
1495.05773851371,0.0241974564649433,"Cluster 2","no random effect","ENV"
1504.85402410177,0.0208845514615361,"Cluster 2","no random effect","ENV"
1489.66212413554,0.0267886218541187,"Cluster 2","no random effect","ENV"
1489.6722609801,0.0227198106985033,"Cluster 2","no random effect","ENV"
1484.78830529105,0.0346594279664949,"Cluster 2","no random effect","ENV"
1495.41678931625,0.0317390402258671,"Cluster 2","no random effect","ENV"
1513.89358183892,0.0244437526783369,"Cluster 2","no random effect","ENV"
1486.46584594818,0.0280718883275654,"Cluster 2","no random effect","ENV"
1504.89305284071,0.0272886979821876,"Cluster 2","no random effect","ENV"
1471.11039935005,0.0269937690384258,"Cluster 2","no random effect","ENV"
1494.11765466919,0.0257313046686231,"Cluster 2","no random effect","ENV"
1508.57516348157,0.0282118133729024,"Cluster 2","no random effect","ENV"
1462.38916228367,0.0321809414125939,"Cluster 2","no random effect","ENV"
1489.96091086612,0.0262607744105252,"Cluster 2","no random effect","ENV"
1485.78373062192,0.0235475412192288,"Cluster 2","no random effect","ENV"
1491.94313801526,0.0310109408466797,"Cluster 2","no random effect","ENV"
1478.08547525586,0.0215600076151067,"Cluster 2","no random effect","ENV"
1479.63535906906,0.0297555637230148,"Cluster 2","no random effect","ENV"
1483.17512347893,0.0244242368653112,"Cluster 2","no random effect","ENV"
1471.41799486482,0.0232582952885293,"Cluster 2","no random effect","ENV"
1467.4737087546,0.0226808383090315,"Cluster 2","no random effect","ENV"
1512.99446013642,0.0193880542877589,"Cluster 2","no random effect","ENV"
1505.14900408968,0.0237174700935342,"Cluster 2","no random effect","ENV"
1486.86083552444,0.0252719238605701,"Cluster 2","no random effect","ENV"
1492.70204114523,0.0192630554743349,"Cluster 2","no random effect","ENV"
1506.48215824371,0.0309444499295029,"Cluster 2","no random effect","ENV"
1506.21286068891,0.0237882321351734,"Cluster 2","no random effect","ENV"
1490.78873450455,0.0269431840692815,"Cluster 2","no random effect","ENV"
1477.62450770352,0.0257599150838585,"Cluster 2","no random effect","ENV"
1498.34298688997,0.0246360596256829,"Cluster 2","no random effect","ENV"
1485.98542186032,0.0225455800318935,"Cluster 2","no random effect","ENV"
1492.55106454413,0.0276629889278716,"Cluster 2","no random effect","ENV"
1471.17505356964,0.0184721904732183,"Cluster 2","no random effect","ENV"
1487.22734730148,0.0313926982196051,"Cluster 2","no random effect","ENV"
1477.30310936364,0.0312640083256458,"Cluster 2","no random effect","ENV"
1473.1642348238,0.0211222411028221,"Cluster 2","no random effect","ENV"
1487.11929173625,0.0235868792290263,"Cluster 2","no random effect","ENV"
1482.23732997165,0.0237663620635678,"Cluster 2","no random effect","ENV"
1490.57297144764,0.0284790770935426,"Cluster 2","no random effect","ENV"
1494.05588651134,0.0293840690588214,"Cluster 2","no random effect","ENV"
1494.41365699732,0.0284861348014145,"Cluster 2","no random effect","ENV"
1497.30890810058,0.0296595068721496,"Cluster 2","no random effect","ENV"
1497.18654351574,0.0227125016248144,"Cluster 2","no random effect","ENV"
1494.96632839849,0.0210252434123024,"Cluster 2","no random effect","ENV"
1505.27431649585,0.0180524967420376,"Cluster 2","no random effect","ENV"
1491.74478037725,0.0282660869749993,"Cluster 2","no random effect","ENV"
1496.48074939873,0.0250213234640459,"Cluster 2","no random effect","ENV"
1473.16457977405,0.028664782712267,"Cluster 2","no random effect","ENV"
1499.82747421557,0.0274680492952761,"Cluster 2","no random effect","ENV"
1487.97118826487,0.0205313098619679,"Cluster 2","no random effect","ENV"
